tweet,country_code,geo_location,bounding_box,screen_name,favourites_count,followers_count,statuses_count,friends_count,listed_count,user_described_location,created_at,utc_offset
Perhaps we should leave the far left &amp; turn away from the far right &amp; meet in the center to get things done for our country. #politics #political #left #right #conservatives #liberals #Democrats #Republicans #Congress #Senate #House #POTUS #SCOTUS #election #Election2020 #USA,US,"Nashville, TN","[[[-87.022482, 35.9945681], [-86.560616, 35.9945681], [-86.560616, 36.405448], [-87.022482, 36.405448]]]",CSteveSimms,11222,2342,27303,4540,67,"Nashville, Tennessee, USA",Wed Apr 24 11:56:29 +0000 2019,
@realDonaldTrump @OANN The #truth is coming out #Donald Thanks to #Congress finally imposing oversight on @realDonaldTrump and his henchmen,US,"Manhattan, NY","[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]]",haldonahue,68111,12617,200340,12738,288,"Scranton, PA, USA",Wed Apr 24 11:53:41 +0000 2019,
"There should have been subpoenas. #Congress, “if you’re listening, I hope you’re able to” get their testimony under oath. “I think you will be rewarded mightily by our press.” https://t.co/Gc7aqxDRwR",US,"Houston, TX","[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]",richbonnin,13230,2692,8933,5001,143,"Houston, Texas",Wed Apr 24 11:23:42 +0000 2019,
To #Congress: we know you improperly paid $1.2 Trillion since 2004? $140 B just last year - $12 B a month. What is being done to correct this? @SpeakerPelosi? MO reps: @LuetkemeyerB? @RoyBlunt? @HawleyMO? I wrote to all of you and have received no answers. @POTUS? Can we #MAGA?,US,"Missouri, USA","[[[-95.774704, 35.995476], [-89.098843, 35.995476], [-89.098843, 40.613641], [-95.774704, 40.613641]]]",Nakko60,9066,5473,33038,5501,34,"Missouri, USA",Wed Apr 24 11:13:52 +0000 2019,
"#Congress chief #RahulGandhi during #Election rally in #Beneshwar #Banswara #Dungarpur #Rajasthan 
Pictures taken by me
@RahulGandhi @priyankagandhi https://t.co/aOehXwXSYW",IN,"Udaipur, India","[[[73.520205, 24.175067], [74.132294, 24.175067], [74.132294, 24.743788], [73.520205, 24.743788]]]",shailfilm,9384,3188,7572,58,75,"Mumbai, New Delhi",Wed Apr 24 10:41:42 +0000 2019,
"An article , a must read for #Gujarat #congress leaders ! https://t.co/sSRIgoN3vi",IN,"Daskroi, India","[[[72.430081, 22.797559], [72.843275, 22.797559], [72.843275, 23.164295], [72.430081, 23.164295]]]",HirenAntani,6388,2504,17361,2274,50,"Ahmedabad, India",Wed Apr 24 10:00:32 +0000 2019,
"My reaction to the news when I heard #PriyankaGandhi is going against #NarendraModi at #Varanasi.

Please go ahead.
#Congress #BJP #UditRaj #WednesdayWisdom #Aap #LokSabhaElections2019 #BattleOf2019 #Bengaluru https://t.co/ArsEMEOzNp",IN,"Bengaluru South, India","[[[77.3305776, 12.731936], [77.7863188, 12.731936], [77.7863188, 13.1142933], [77.3305776, 13.1142933]]]",sourabhnandwana,6146,2206,2778,2174,41,"Bengaluru, India",Wed Apr 24 08:54:06 +0000 2019,
"If he wanted to be in Congress since 2012, why did he even contest as a BJP candidate in 2014 LS elections. 
Will #Congress now betray another long time party worker, and give a LS nomination to #UditRaj ? https://t.co/3X6zo9w4hE",IN,"New Delhi, India","[[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]]",MadCapProf,4374,301,24127,184,4,"New Delhi, India",Wed Apr 24 08:06:02 +0000 2019,
"@yadavtejashwi Please tell us something about your father's Corruption. And what about your brother jhagda. Vote to your party, Not for now ""NO"". Never for ever. same for #congress &amp; same for #TMC..",IN,"Etmadpur, India","[[[77.960687, 27.1756746], [78.2968698, 27.1756746], [78.2968698, 27.4088478], [77.960687, 27.4088478]]]",ankushgns,18,67,5406,433,0,,Wed Apr 24 08:04:21 +0000 2019,
"बस कर भाई और कितना फेकोगे...

Do you really expect people to believe all this? 😂

@narendramodi @akshaykumar @mrsfunnybones @BJP4India @INCIndia @AamAadmiParty 

#ModiWithAkshay #NarendraModi #AkshayKumar #BJP #Congress https://t.co/2XPdrmRuPx",IN,India,"[[[67.997691, 6.622513], [97.170672, 6.622513], [97.170672, 33.254896], [67.997691, 33.254896]]]",iAmSameerSri,882,56,508,899,0,भारत,Wed Apr 24 07:25:29 +0000 2019,
Meet the world famous @INCIndia @RahulGandhi @ShashiTharoor “Dukhiyari Amma” This is the #NyayForIndia that pappu has coined! How these #congress leaders have exploited the poor of this country is not hidden anymore #CongressMuktBharat has now become a necessity  #ModiHiAayega https://t.co/uLV6GsyJs3,IN,"Sholinganallur, India","[[[80.056161, 12.850328], [80.268192, 12.850328], [80.268192, 13.028593], [80.056161, 13.028593]]]",sanitbahri,1357,1378,2438,1468,11,Nagpur,Wed Apr 24 06:59:13 +0000 2019,
"Dr #UditRaj former #BJP MP from North West Delhi, joins #Congress  

#uditrajbestmp https://t.co/eS1YzjkPGI",IN,"New Delhi, India","[[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]]",dinkarsr11,14519,74,1020,1342,0,"Uttarakhand - New Delhi, India",Wed Apr 24 06:21:36 +0000 2019,
"After quitting @BJP4India party yesterday, @Dr_Uditraj joins @INCIndia party in the presence of party president @RahulGandhi #Congress #BJP #RahulGandhi #LokSabhaElections2019 #2019LokSabhaElections https://t.co/c0BLmuW68e",IN,"Hyderabad, India","[[[78.3897718, 17.3013989], [78.5404168, 17.3013989], [78.5404168, 17.4759], [78.3897718, 17.4759]]]",anusha_puppala,3185,2549,5036,1416,25,Hyderabad,Wed Apr 24 06:02:18 +0000 2019,
